essay_id,full_text,score
d550b2d,"The face was not created by aliens because there is still no proof that aliens or any living thing that lives on mars NASA are still looking for life on mars so how can the face be made by mars. It was formed by shadows giving the illusion of a human head, eyes, nose and mouth. There was no alien monument after all. The face was just made up with clouds and dust particles from Mars. What the picture actaully show is the Martian equivalent of a butte or mesa landforms common aroung the American West.

The picture saying that the aliens created the face is just clouds forming a face on a stormy day on Mars beacuse our eyes can be illusion of what we see. The face was made up of dust and clouds which formed a face. tThe picture that was taken in 1976 looks like a face but doesnt have all thee features as the picture that was taken in 1998. The pictue that was taken in 1998 looks very simlar like a face u can see eyes, mouth, a nose. The picture that was taken in 2001 doesnt look like a face anymore looks like dryed up dirt.

The first picture starts to look like a face but isnt all done yet. The second picture u can see that it clearly has face features. The thrd picture looks like during the tme of the 1998 picture and 2001 picture (last one) that it doesnt look like a face no more it doesnt have the features of a face that we saw back in 1998.",2
0c10954,"Hello my name is Luke Bomberger and I was seagoing cowboy after World War II. I helped transfer animals to Europe and Asia .It was after the war ,""and many countries were left in ruins"".(paragraph 2).I enjoyed it a lot because I got to go see other parts of the world.

I would recomend this job for anyone who likes to adventure. This job is full of fun and exploration. It takes a lot of wateing because ""it takes about two weeks to cross the Alantic ocean from the eastern coast of the United states and a month to get to china"".(paragraph 6).Theres also a lot of running around and getting the animals fed. When your waiting for the animals to fed you can have a lot of fun like playing table-tenis,vollyball,boxing which will pass the time. This program done be dangerous at times because there might be a storm or a hauracane. I acually broke my ribs trying to get across the Alantic. though it does pay out in the end.

I would totally recomend this program to anyone. We talked how it was good. It can be dangerous. Though you get to go to places you never thought you would go. In the end your doing this for a good cause.",2
ef04816,"The technology to read the emotional expressions of students in a classroom is not valuable because it is a waste of time. I think it's a waste of time because studies show that you can be able to tell when someone is down. Not by the face but by their actions. You will start to see a change in them, they wont act the same even if they try so hard to,ect. The Facial Action Coding System is a waste of money, time, and space.

Why do all this just to see if someone is hiding their emotions, when you can just observe them. A true friend, mother, father ect; will know if something is wrong with their loved ones. In the article the very first sentence says "" she's 83 percent happy, 9 percent disgusted , 6 percent fearful, and 2 percent angry."" Why does it matter how fearful,disgusted,or angry she is if it clearly states she happy 83 percent. We are not computers, robots or none of that we are human beings and we all have different emotions running at the same time. Thats what makes us, us!

In the article it also states "" For instance, you can probably tell how a friend is feeling simply by the look on her face. Of course, most of us would have trouble actually describing each facial trait that conveys happy, worried, ect."" My point here is that you dont observe a persons feelings by looking at their face. You observe the way they act and compare it to how they usually act when mad, sad, or happy, ect. People sometimes hide their emotions by putting on a fake smile, hiding their true emotions thats why you observe actions.

I just feel as if its easy to tell the difference between different emotions. It's common sense to me, but it may not be to you. When you really think about it, they make it seem like its really complicated. But if you would just pay close attention to your loved ones, and stop thinking that everyone has to always be happy. Then you will see that its easy to tell the difference of each emotion we humans have.

This is why i think the technology to read the emotional expressions of students in a classroom is not valuable. Hopefully you will understand where i'm coming from. The Facial Action Coding System is unnessacary, and a waste of time. It's easy to tell when someone is acting strange or different. All you have to do is observe.   ",3
88ab8d9,"Do you ever wonder how many soomething is or how much something weights? In this essay the author compares more than one thing to one another.

The author supports the idea of ""The Challenging of Exploring Venus"" by comparing ""Earth as Venus twin and that it is the closest planet to earth in terms of density and size,and occasionally the closet in distance too"" which means that Earth is the closet planet to Venus than any other planet in the world. Another way the author supports his text is by saying that ""Earth,Venus,and Mars,our other planety neighbor,orbit the sun at different speeds"" what that means is that all those other planets are the ones neighboring to it and that they have many different speeds and are many different sizes throughout the whole planet while it orbits. The third way the author supports his information in the text is by how he compares all the other planets to one another not just one planet to the next. Last supporting text the author supports in this is that ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus"" what the author is trying to say is that one big thickness of the atmosphere is almost basically covered 97 percent with a carbon dioxide blanket. In conclusion the author compares all these planets to one another.

In the second paragrah the author loves to use many different techniques to describe the story to people who are reading it. Another thing the author does in the story is tell how much Earth,Venus,Mars weigh throughout the whole story. Another way the author supports his evidence in the story is by telling us were they are located at.

In conclusion,the author supports his text very well by comparing the other planets to each other not just to one another. Also the author likes to use numbers to show how much of the percent got covered or how many times something happened during the times throughout the whole thing something got done in or covered.",2
cee8c0f,"This story is about discovering mars. Witch is pretty exicting because this is a big planet and every planet we discove is a new chance to find other life than the earth because if we have more knoledge about what outer space than we can go to the planets and maybe use the for our selfes or if their are any plant we can use / grow them here on earth.

So about 25 years ago NASA'S Viking one space ship was circleing the planet taking photos for a posible landing ship viking 2 when it spotted the shadowy likness of a human face.

An strange head nearly 2 miles away. The face on Mars have scine become a popular icon. It has been talked about everywhere.

It was a bid hit on NASA's Alot of people wanted to see the Face On Mars. The Face On Mars has starred in a hollywood film along with magazines and other products that could cause talk about The Face On Mars. Scientist bealived that the faces wher Alien artifact.

This story was about how the Face on mars was regonized all over the world and scientists are still trying to figure out what this face was, was it an artifact or was it just a strange dent/ crator in the mars land. But even till this day the world may never figure out what this strage face was or where it may have came from .",1
e3077bb,"In 1976, a mesa was discovered on Mars that resembled a face, calling it the ""Face

on Mars,"" or just the ""Face."" The face was located in a region on Mars called Cydonia. The Face is just a mesa on Mars. A few scientists believed the Face was an alien artifact, and some conspiracy theorists believe the Face was evidence of life on Mars that NASA would rather hide. The article says, ""And so on April 5, 1998, when Mars Global Sruveyor flew over Cydonia for the first time, Michael Malin and his Mars Orbiter Camera (MOC) team snapped a picture ten times sharper than the original Viking Photos. Thousands of anxious web surfers were waiting when the image first appeared on a JPL web site, revealing ... a natural landform. There was no alien monument after all."" This quate proves with the image that the Face on Mars isn't a face, it's a natural landform. The text also says, ""Nevertheless, on April 8, 2001-a cloudless summer day in Cydonia-Mars Global Surveyor drew close enough for a second look."" ""'As a rule of thumb, you can discern things in a image 3 times bigger than the pixel size,' he added. 'So if there were any objects in the picture like airplanes on the ground or Egyptian style pyramids or even small shacks, you could see what they were!'"" These quotes are telling how good the picture is so if there were any alien structures, we would be able to see them. The article also states, ""What the picture actually shows is the Martian equivalent of a butte or mesa-landforms common around the American West."" What this quote is saying is the face was confirmed to be a Martian mesa, not an alien artifact or proof of life on Mars.",3
ae02008,"Dear State Senator,

I understand there has been some contreversy between keeping or changing the Electoral College by popular vote for the president of the United States, But We need to Keep the Electoral College, and these are the reasons why.

First things first, the Electoral College is a process,not a place. Also it consists of 538 electors but a majority of electoral votes needs to be 270 votes in order to elect a president. So each Canident has a 50/50 chance of winning or losing. The elctors are chosen by the political parties, which i can see how people would have a problem with that,but if they dodnt choose the canadents for us we probably would even know which person to elect as a canadent.

The presidental election is held every four years on the Tuesday after the first Monday in November, giving the citizens more than enough time to decide if they are happy with the president they have or if they should elect a new one, usually there happy with the president they elected which means that the Electoral College process is working.

Although the electorla college system is for the voters to vote for a slate of electors to elect the president the citizens still get a say in the election towards there president of choice. if the citizens could just elect a president from there personal votes then they would probably make the wrong decsion on who to choose, they might be fooled by the flashy ads on tv promising change when in reality, there promises are lies. Thats why having a slate of electors help to vote for a president if so important because they know how to point out there lies and know what there true intentions are.

Some say that the Electoral College system is 'Unfair' to the people but i strongly disagree. Infact, the Electoral College helper the people choose the right president for our country    ",3
f2a704c,"The article ""The Challenge of Exploring Venus"" is a well written article about the knowledge we have about Venus. Scientists have been fascinated with the planet's characteristics, such as its weather patterns, orbital route, as well as Venus's geology. Even though we have quite a bit of information about the planet, there are still many things that we do not know about Venus. The author heavily advocates the need of exploring Venus for multiple reasons.

The article mentioned how scientists refer to Venus as Earth's twin. Venus shares a very similar size, density, and distance with our planet. The main issue with Venus is that the weather can be chaotic and unpredictable, as well as the planet's atmosphere and living conditions. However, while those factors may not be ideal, they could still be survivable for humans if we had the propper equipment

Another reason the article states is that Venus could have been the most similar planet to Earth. Scientists believe that Venus might have had large oceans similar to Earth's modern day oceans. This information alone is one of the reasons why scientists want to explore the planet more. We may be able to understand more about Earth's oceans through the possible oceans that used to exist on Venus.

One of the last reasons the author listed was that Venus is one of the closest destinations for us to visit. It will most likely be a long time before any human travels outside of the solar system, but a planet such as Venus would make the most sense to travel to. While it does sound phenomonal to attempt to land on Venus, it would be extremely dangerous to do so. There is nothing easy about traveling in space, and Venus's climate is too unpredictable to even reach its surface.

The article has many pieces of evidence that support the idea of studying Venus. Some of those ideas are currently very dangerous and improbable to even attempt, but they are still very good goals to strive for. The article sheds light on the importance of exploration, as well as the idea that there is an endless amount of knowledge beyond our understanding. Even if we fail, it is through our attempts that we continue to learn.   ",4
ba4349f,"Attention fellow citizens! Like most things, cars have it's advantages and disadvanteges. Cars have developed more problems from the usage on a regular basis. Limiting car use in cities can reduce the issues related to vehice usage to a minimum.

To begin, many cities have already set limitations on automobile usage such as Vauban, Germany and the outskirts of Freiburg near the Swiss and French boarders. Freiburg has actually banned cars except for the main thouroughfare and a few streets on the edge of the community.

70 percent of people in Vauban do not have a vehicle and 57 percent sold their car to move to Vauban. As we all know cars take a toll an the atmosphere itself by adding greenhouse gasses to the atmosphere. 50 percent of greenhouse gasses in the United states are emited through cars, but on the other hand cars are responsible for only 12 percent. It seems to be that the car-less cities tend to be declining the negative effects in the atmosphere.

Next, Paris took the no-car rule to another level by banning all cars, depending on the day, to reduce conditions in the air quality because of the emitiones from the vehicles. A thick smof loomed over the city because of the gases produced form the automobiles. Drivers with licence plates with even numbers would not use their cars for the day and odd cars would be off the next in an attempt to redice the smog. After numerous days of reduced cars the smog began clear from it's usual state.

Also, another city that's cutting down car usage is Bogota Colombia. Bogota has created a ""car-free"" day to reduce the harmful gases created by cars and to encourage alternative forms of transportation. Anyone driving a vehicle would be fined $25. The turnout was big with many people participating showing reat results on the atmospheric conditions above the city. Another great thing that came out of this is the enthusiasm it brought to other countries who wanted some thing like this to encourage other formes of transportation and reduce pollution.

As seen in the article, limiting the time we use cars has a great impact on the environment and people around you. So what do you say? Put down the keys and ride a bike today!    ",3
0509d92,"In addition to, the story people think that the Face was created by aliens. In this essay i will be talking about, Whether or not people have proof or evidence that the Face was created by aliens?, What would make people think that the Face was created by aliens?, and How do you think this if you just found out about the Face?.

With that being said, Do you think these people that thought the Face was created by aliens have proof or any type of evidence?... I don't think they had proof or any type of evidence because it was on Mars people csn not go around assuming that it was created by aliens if they have no proof. People would have to go to Mars and see for theirselves. Just because it was founded on Mars doesn't neccesarly means that it was created by aliens.

Next, What makes people think that the Face was created by aliens?. Is it because they knew that it came from Mars?... I strongly believe it is because all these people knew that it came from Mars, i'll tell you why i think this. I think this because it appeared in books, magazines, radio talk shows, and even haunted grocery stores as stated in paragraph 5. So, because it appeared in so many places people started to make assumtions, and really believed that the Face was created and made by aliens.

Futhermore, How does people think this if they just recently found out about the Face?. Well, people think this just because it it was the most popular story or myth going on at the time and since it came from Mars that it was created by aliens because they know people doesn't live on Mars.. But, that doesn't mean human beings do not visit to see what it is like in person.

In my opinion, last but not least, people should not make any assumtions before they don't know the full story or the truth behind it all and to ask people who was it created it by and stop always thinking they know everything and making a lot of assuming statements, to where it makes a huge rumor around the world.",4
b0f9c2f,"My name is Luke Bomberger and I am going to tell you some cool things you get to do and see if you become a Seagoing Cowboy. First you will get to see animals that live in the sea such as dolphins, whales, and maybe a shark. One things that really gets me excited about being a Seagoing Cowboy is when I get to hang out on a boat with animals like horses and cows. I think that you should join because you could see the Statue of Liberty, and you might get to meet some really interesting people. When you have droped off the animals you might get to stay a little while and explore the town or city.

If you join the program you would be helping others when they need it. You could marvel at the Panama Canal on your way somewhere just like I did. On your way back you could play games and have tournaments in games such as softball, baseball, and table tennis where the animals were stored.

If you become a Seagoing Cowboy you could be more aware of others and their needs. It made me grateful that I gave becoming a Seagoing Cowboy a chance and it changed my life.",2
